Temp pH Cond Ca Mg Na K AlkAcid SO4_IC Cl NO2NO3N Tot.N_ps TotP AbsF420nm TOC Si
1.2 7.94 24.8 2.009 0.385 0.341 0.058 1.82 0.454 0.267 205 705 34 0.148 16.3 1.1
1.7 7.38 12.1 0.978 0.17 0.144 0.023 0.892 0.174 0.105 4 365 14 0.192 16.7 2.18
2.3 7.77 17.5 1.532 0.161 0.227 0.023 1.414 0.218 0.174 65 439 11 0.158 16.5 0.59
1.3 7.43 8.66 0.666 0.104 0.13 0.019 0.571 0.128 0.102 13 352 9 0.101 13.7 0.22
2.4 7.35 45.4 3.838 0.455 0.627 0.092 3.784 0.623 0.641 126 713 19 0.243 22.2 3.9
4 7.64 73.8 3.907 1.897 0.721 0.882 4.189 3.633 0.541 2 299 15 0.066 8.2 2.5
1.3 7.7 44.9 3.228 0.629 0.897 0.094 2.923 1.085 0.917 35 602 13 0.082 15.4 0.91
0.5 7.33 8.57 0.732 0.106 0.148 0.019 0.583 0.022 0.127 71 773 13 0.383 27.2 1.74
1.8 7.11 8.45 0.725 0.108 0.153 0.019 0.567 0.026 0.127 53 441 12 0.388 26.9 1.45
1.2 7.35 7.53 0.54 0.115 0.138 0.014 0.44 0.118 0.075 24 505 16 0.107 14.5 0.38
2.3 7.77 28.4 2.488 0.307 0.353 0.052 2.398 0.359 0.306 2 649 13 0.065 16.3 0.18
4.3 7.75 35.7 3.077 0.391 0.519 0.044 2.825 0.813 0.326 2 1006 9 0.097 19.2 1.58
0.4 7.39 7.9 0.687 0.095 0.12 0.017 0.519 0.064 0.084 38 464 17 0.345 24.8 0.74
0.6 7.91 26.4 2.453 0.261 0.217 0.038 2.031 0.594 0.17 21 674 19 0.147 19.2 1.2
2.7 6.36 4.78 0.473 0.081 0.118 0.009 0.129 0.019 0.059 34 488 17 1.205 50.6 2.12
0.6 7.59 9.23 0.768 0.105 0.141 0.02 0.632 0.08 0.115 72 442 14 0.241 20.9 0.39
1.1 7.97 35.4 1.742 0.526 1.277 0.092 2.114 0.236 1.428 1 547 9 0.041 16 0.1
2.6 7.08 3.6 0.211 0.059 0.091 0.013 0.163 0.061 0.048 116 393 10 0.151 7.8 1.88
0.7 7.43 15.5 1.284 0.145 0.223 0.033 1.184 0.049 0.06 1 400 11 0.146 17.3 0.69
0.4 7.34 9.64 0.793 0.104 0.15 0.021 0.677 0.072 0.123 26 459 23 0.236 20.8 0.65
1.2 7.76 15.3 1.276 0.144 0.225 0.027 1.149 0.154 0.199 12 447 12 0.153 18.3 0.48
0.9 7.55 13.9 1.124 0.135 0.218 0.025 1.022 0.134 0.196 20 424 13 0.166 18.6 0.4
0.7 7.51 17.4 1.37 0.178 0.301 0.035 1.244 0.207 0.293 96 432 15 0.213 20.1 0.97
1.2 7.67 12 1.033 0.102 0.214 0.022 0.896 0.088 0.167 28 678 12 0.247 24.5 0.81
3.7 6.85 18.8 0.514 0.147 0.985 0.05 0.367 0.166 0.965 325 787 50 0.154 11.7 2.42
5.9 7.03 6.04 0.268 0.096 0.202 0.019 0.199 0.11 0.183 19 1039 15 0.101 9.7 1.5
3.6 7.61 9.46 0.381 0.283 0.263 0.068 0.657 0.054 0.179 15 646 96 0.214 19.3 0.1
4.8 7.52 10.9 0.674 0.237 0.189 0.065 0.648 0.205 0.146 30 637 48 0.14 16.2 0.29
5.3 7.66 15.1 0.901 0.272 0.308 0.062 0.79 0.355 0.259 74 611 40 0.041 10.8 0.2
2.9 7.4 15.3 0.962 0.318 0.258 0.058 0.92 0.254 0.316 41 1040 32 0.089 12.7 1.72
2.9 7.27 16.2 1.294 0.275 0.157 0.04 1.301 0.24 0.126 23 854 15 0.058 10.9 3.13
3.4 6.79 4.48 0.156 0.13 0.126 0.016 0.156 0.102 0.09 8 289 13 0.084 8.5 1.65
3.9 7.63 16.1 0.846 0.465 0.298 0.071 0.962 0.372 0.263 298 513 28 0.054 9.7 1.33
3.7 7.4 15.3 0.906 0.23 0.328 0.064 0.721 0.347 0.382 489 1079 37 0.065 9.3 1.63
